канваль	{'Частота': 189}
тисар	{'Частота': 139}
ламонт	{'Частота': 129}
искин	{'Частота': 107}
сингариец	{'Частота': 83}
бронескаф	{'Частота': 55}
давино	{'Частота': 55}
наносеть	{'Частота': 54}
дроид	{'Частота': 45}
комбез	{'Частота': 44}
имплант	{'Частота': 42}
скаф	{'Частота': 32}
бластер	{'Частота': 31}
элдридж	{'Частота': 30}
мерсер	{'Частота': 30}
сеграст	{'Частота': 29}
гиперврат	{'Частота': 27}
маккинн	{'Частота': 25}
сингарийский	{'Частота': 24}
пармар	{'Частота': 24}
норн	{'Частота': 23}
импланта	{'Частота': 21}
гиперсвязь	{'Частота': 20}
сатлос	{'Частота': 20}
кэп	{'Частота': 19}
кхайя	{'Частота': 19}
техико	{'Частота': 19}
бринг	{'Частота': 18}
сингарийка	{'Частота': 18}
тисара	{'Частота': 17}
бэрн	{'Частота': 17}
дэянский	{'Частота': 16}
ду	{'Частота': 16}
метаморф	{'Частота': 15}
межсистемник	{'Частота': 15}
армакорп	{'Частота': 15}
медкапсула	{'Частота': 15}
берлиз	{'Частота': 15}
пармара	{'Частота': 15}
каанр	{'Частота': 14}
лакран	{'Частота': 14}
грузовоз	{'Частота': 14}
керратитовый	{'Частота': 13}
дрон	{'Частота': 13}
палмара	{'Частота': 13}
виамстернер	{'Частота': 13}
техварп	{'Частота': 12}
комбезе	{'Частота': 12}
зуз	{'Частота': 12}
гиперпереход	{'Частота': 11}
квейн	{'Частота': 11}
грави	{'Частота': 11}
хогга	{'Частота': 11}
бэрна	{'Частота': 11}
стерн	{'Частота': 11}
мда	{'Частота': 10}
тисарь	{'Частота': 10}
сингария	{'Частота': 10}
голоизображение	{'Частота': 10}
линковод	{'Частота': 9}
нанобот	{'Частота': 9}
дорасский	{'Частота': 9}
импульсник	{'Частота': 8}
короткостриженый	{'Частота': 8}
техно	{'Частота': 8}
ситойский	{'Частота': 8}
тариус	{'Частота': 8}
впечатлить	{'Частота': 7}
гиперпрыжок	{'Частота': 7}
сайконский	{'Частота': 7}
мидрад	{'Частота': 7}
сайкон	{'Частота': 6}
псионический	{'Частота': 6}
талайя	{'Частота': 6}
зеленоволосый	{'Частота': 6}
расфокусироваться	{'Частота': 6}
троттер	{'Частота': 6}
абордажник	{'Частота': 6}
Die	{'Частота': 6}
Waffen	{'Частота': 6}
legt	{'Частота': 6}
an	{'Частота': 6}
ролло	{'Частота': 5}
био	{'Частота': 5}
тахол	{'Частота': 5}
шаттлов	{'Частота': 5}
юнит	{'Частота': 5}
контрабордажный	{'Частота': 5}
медотсек	{'Частота': 5}
давный	{'Частота': 5}
шаттлы	{'Частота': 5}
хатан	{'Частота': 5}
впечатлевать	{'Частота': 5}
нейрокорп	{'Частота': 5}
кликать	{'Частота': 5}
пустотник	{'Частота': 5}
кибердок	{'Частота': 5}
каарн	{'Частота': 5}
дэянец	{'Частота': 5}
пшемек	{'Частота': 5}
харанский	{'Частота': 4}
стил	{'Частота': 4}
флаер	{'Частота': 4}
аристый	{'Частота': 4}
грэс	{'Частота': 4}
гиперврата	{'Частота': 4}
деянец	{'Частота': 4}
филора	{'Частота': 4}
каарны	{'Частота': 4}
древнесингарийский	{'Частота': 4}
талайр	{'Частота': 4}
крейслер	{'Частота': 4}
дэянки	{'Частота': 4}
ассасин	{'Частота': 4}
алмео	{'Частота': 4}
далхайр	{'Частота': 4}
нанобронить	{'Частота': 4}
МНК	{'Частота': 4}
мето	{'Частота': 4}
астран	{'Частота': 4}
таасит	{'Частота': 4}
нейрошунт	{'Частота': 3}
некроникс	{'Частота': 3}
ра	{'Частота': 3}
семидесятипроцентный	{'Частота': 3}
c	{'Частота': 3}
боестолкновение	{'Частота': 3}
медблок	{'Частота': 3}
нанит	{'Частота': 3}
имплантирование	{'Частота': 3}
интерком	{'Частота': 3}
бронеплить	{'Частота': 3}
голопроектор	{'Частота': 3}
вложиться	{'Частота': 3}
псион	{'Частота': 3}
талиш	{'Частота': 3}
бэнк	{'Частота': 3}
инкорпорейтед	{'Частота': 3}
G	{'Частота': 3}
гипердрайв	{'Частота': 3}
деянский	{'Частота': 3}
хэд	{'Частота': 3}
юникон	{'Частота': 3}
бронекостюм	{'Частота': 3}
фронтира	{'Частота': 3}
сингарийец	{'Частота': 3}
крысеныш	{'Частота': 3}
кхайи	{'Частота': 3}
урм	{'Частота': 3}
пшемека	{'Частота': 3}
ментосканирование	{'Частота': 2}
ментосканер	{'Частота': 2}
аляпов	{'Частота': 2}
подавитель	{'Частота': 2}
Ра	{'Частота': 2}
голофильм	{'Частота': 2}
КМЗ	{'Частота': 2}
эээ	{'Частота': 2}
регенгель	{'Частота': 2}
ультратонкий	{'Частота': 2}
метафорф	{'Частота': 2}
серико	{'Частота': 2}
венник	{'Частота': 2}
планетка	{'Частота': 2}
апгрейд	{'Частота': 2}
мандарский	{'Частота': 2}
голосвязь	{'Частота': 2}
дэянка	{'Частота': 2}
близняшка	{'Частота': 2}
вторгаться	{'Частота': 2}
хрень	{'Частота': 2}
восьмиколесный	{'Частота': 2}
БР	{'Частота': 2}
быстроход	{'Частота': 2}
ааа	{'Частота': 2}
сикрон	{'Частота': 2}
галлард	{'Частота': 2}
мантигарский	{'Частота': 2}
клинго	{'Частота': 2}
моонтраанский	{'Частота': 2}
гэлберт	{'Частота': 2}
девайс	{'Частота': 2}
гипер	{'Частота': 2}
терраформирование	{'Частота': 2}
Hell	{'Частота': 2}
March	{'Частота': 2}
яицеголовый	{'Частота': 2}
настайкар	{'Частота': 2}
гипердвигатель	{'Частота': 2}
шестилапый	{'Частота': 2}
интерок	{'Частота': 2}
антишоковый	{'Частота': 2}
медкомплекс	{'Частота': 2}
бодание	{'Частота': 2}
утс	{'Частота': 2}
субконтракт	{'Частота': 2}
космолетчик	{'Частота': 2}
шаттла	{'Частота': 2}
имлант	{'Частота': 2}
харш	{'Частота': 2}
конфронтация	{'Частота': 2}
сма	{'Частота': 2}
маккин	{'Частота': 2}
маркизат	{'Частота': 2}
фрест	{'Частота': 2}
Alex	{'Частота': 1}
Kamenev	{'Частота': 1}
траффик	{'Частота': 1}
сатон	{'Частота': 1}
отстыковка	{'Частота': 1}
эсток	{'Частота': 1}
поприлет	{'Частота': 1}
межсистемников	{'Частота': 1}
оттарабанить	{'Частота': 1}
бандюк	{'Частота': 1}
суборбительный	{'Частота': 1}
черезнеделя	{'Частота': 1}
прикид	{'Частота': 1}
потрыпыхаться	{'Частота': 1}
суперпродвинутый	{'Частота': 1}
сохраняливать	{'Частота': 1}
успехапирать	{'Частота': 1}
нарочисто	{'Частота': 1}
временномуработодатель	{'Частота': 1}
бедр	{'Частота': 1}
бароноввеликий	{'Частота': 1}
выщербенка	{'Частота': 1}
оттенкомить	{'Частота': 1}
наменя	{'Частота': 1}
забиологический	{'Частота': 1}
среднезарабатывать	{'Частота': 1}
небаловаться	{'Частота': 1}
мафусаил	{'Частота': 1}
жирдяй	{'Частота': 1}
боксерка	{'Частота': 1}
начнетснов	{'Частота': 1}
обдолбать	{'Частота': 1}
ребяткиявно	{'Частота': 1}
суперсолдат	{'Частота': 1}
тесар	{'Частота': 1}
гиперпривод	{'Частота': 1}
своюдевушка	{'Частота': 1}
неверить	{'Частота': 1}
КР	{'Частота': 1}
бронекомбез	{'Частота': 1}
раззовется	{'Частота': 1}
вовполне	{'Частота': 1}
планетойд	{'Частота': 1}
надписьн	{'Частота': 1}
высокобронированный	{'Частота': 1}
группамзахват	{'Частота': 1}
антиабордажный	{'Частота': 1}
биржы	{'Частота': 1}
ТТХ	{'Частота': 1}
пятидесятипроцентный	{'Частота': 1}
перенастройка	{'Частота': 1}
отличиеот	{'Частота': 1}
псевдоразумный	{'Частота': 1}
противтроих	{'Частота': 1}
кхехань	{'Частота': 1}
траумный	{'Частота': 1}
аудиопреобразователь	{'Частота': 1}
меддроид	{'Частота': 1}
пообсуждать	{'Частота': 1}
слабоподготовленный	{'Частота': 1}
непроламывать	{'Частота': 1}
малекула	{'Частота': 1}
регенраствор	{'Частота': 1}
триминута	{'Частота': 1}
траумен	{'Частота': 1}
сероволосый	{'Частота': 1}
сингерийский	{'Частота': 1}
чужеродность	{'Частота': 1}
подбородокслегка	{'Частота': 1}
синклер	{'Частота': 1}
наность	{'Частота': 1}
ещеумный	{'Частота': 1}
неплохооо	{'Частота': 1}
поизображать	{'Частота': 1}
свежеподстриженный	{'Частота': 1}
совещение	{'Частота': 1}
нобольшинство	{'Частота': 1}
наобщий	{'Частота': 1}
правилоидут	{'Частота': 1}
техноброн	{'Частота': 1}
господинов	{'Частота': 1}
ееполный	{'Частота': 1}
чутьразворачивать	{'Частота': 1}
листваказаться	{'Частота': 1}
мнемешать	{'Частота': 1}
будетличный	{'Частота': 1}
обычныхлюди	{'Частота': 1}
продолжитьзнакомство	{'Частота': 1}
голоэкран	{'Частота': 1}
крога	{'Частота': 1}
обагривать	{'Частота': 1}
голозапись	{'Частота': 1}
пко	{'Частота': 1}
молодогохулиган	{'Частота': 1}
считаюрискованный	{'Частота': 1}
юнита	{'Частота': 1}
ДК	{'Частота': 1}
аудиовариант	{'Частота': 1}
разподниматься	{'Частота': 1}
сервомыщцы	{'Частота': 1}
поканин	{'Частота': 1}
визор	{'Частота': 1}
валсть	{'Частота': 1}
эльдридж	{'Частота': 1}
всегалактически	{'Частота': 1}
ухоженность	{'Частота': 1}
ейеще	{'Частота': 1}
резидениция	{'Частота': 1}
непосметь	{'Частота': 1}
ворп	{'Частота': 1}
заходный	{'Частота': 1}
пятиметровый	{'Частота': 1}
неожиданносветловолосый	{'Частота': 1}
стаюрт	{'Частота': 1}
блондинкойсильно	{'Частота': 1}
ссила	{'Частота': 1}
нарисоваться	{'Частота': 1}
нуворошить	{'Частота': 1}
раскаиваетсява	{'Частота': 1}
приказустюарт	{'Частота': 1}
завсегдатый	{'Частота': 1}
увсех	{'Частота': 1}
какследствие	{'Частота': 1}
ультратехнологический	{'Частота': 1}
короткостриженный	{'Частота': 1}
мнеэто	{'Частота': 1}
полубокий	{'Частота': 1}
всектор	{'Частота': 1}
сулла	{'Частота': 1}
корабельномуискин	{'Частота': 1}
расфокусировать	{'Частота': 1}
морн	{'Частота': 1}
обычныелюди	{'Частота': 1}
полувлажный	{'Частота': 1}
наобычный	{'Частота': 1}
докторагэлберт	{'Частота': 1}
менгель	{'Частота': 1}
филорский	{'Частота': 1}
парупункт	{'Частота': 1}
лучшезаняться	{'Частота': 1}
кохлер	{'Частота': 1}
навсего	{'Частота': 1}
коннект	{'Частота': 1}
аванти	{'Частота': 1}
джит	{'Частота': 1}
P	{'Частота': 1}
семистраничный	{'Частота': 1}
кавальканти	{'Частота': 1}
голопроекция	{'Частота': 1}
куда	{'Частота': 1}
слэнг	{'Частота': 1}
вамизаняться	{'Частота': 1}
вамгарантировать	{'Частота': 1}
нуженпартнер	{'Частота': 1}
путьбизнесмен	{'Частота': 1}
грузоперевозочный	{'Частота': 1}
защитнаясеть	{'Частота': 1}
изогнутный	{'Частота': 1}
жемогать	{'Частота': 1}
мечтающихтолько	{'Частота': 1}
поупражняться	{'Частота': 1}
ногаз	{'Частота': 1}
сее	{'Частота': 1}
психотип	{'Частота': 1}
изодежда	{'Частота': 1}
консорциумат	{'Частота': 1}
едрена	{'Частота': 1}
дальнемагистральный	{'Частота': 1}
огрять	{'Частота': 1}
отсутствиякомфортный	{'Частота': 1}
средствапередвижение	{'Частота': 1}
сширина	{'Частота': 1}
синагарийка	{'Частота': 1}
сигарийка	{'Частота': 1}
буркал	{'Частота': 1}
собычный	{'Частота': 1}
смогутотказываться	{'Частота': 1}
спускающийденьги	{'Частота': 1}
аугрожать	{'Частота': 1}
смурнеть	{'Частота': 1}
аудиозвук	{'Частота': 1}
мохито	{'Частота': 1}
бронеплита	{'Частота': 1}
обмениватся	{'Частота': 1}
узкоспециализировать	{'Частота': 1}
егобыстро	{'Частота': 1}
этоможно	{'Частота': 1}
голосигнал	{'Частота': 1}
аудиорежим	{'Частота': 1}
удаленныхточка	{'Частота': 1}
мандарец	{'Частота': 1}
напланета	{'Частота': 1}
лидернаемный	{'Частота': 1}
грузовместимость	{'Частота': 1}
ситоец	{'Частота': 1}
оттяг	{'Частота': 1}
всяслава	{'Частота': 1}
дэянцев	{'Частота': 1}
природныесвязь	{'Частота': 1}
человекизменять	{'Частота': 1}
сингариц	{'Частота': 1}
удатся	{'Частота': 1}
отталкиватель	{'Частота': 1}
дестень	{'Частота': 1}
ультравысотный	{'Частота': 1}
ихблагосостояние	{'Частота': 1}
платьеи	{'Частота': 1}
киндер	{'Частота': 1}
чтосреди	{'Частота': 1}
былинамного	{'Частота': 1}
легкобронировать	{'Частота': 1}
бесновать	{'Частота': 1}
операциюс	{'Частота': 1}
нищеброд	{'Частота': 1}
рандроги	{'Частота': 1}
обескураженно	{'Частота': 1}
нерешить	{'Частота': 1}
видеофиксатор	{'Частота': 1}
нахмуриться	{'Частота': 1}
зналимилосердие	{'Частота': 1}
разбросанный	{'Частота': 1}
ретироватьсяобратно	{'Частота': 1}
погибшихнаемник	{'Частота': 1}
невс	{'Частота': 1}
сеграстый	{'Частота': 1}
периферийныхтерритория	{'Частота': 1}
ремонтнопригодный	{'Частота': 1}
одобряюще	{'Частота': 1}
разведроид	{'Частота': 1}
будутпросто	{'Частота': 1}
космпорт	{'Частота': 1}
вундервафля	{'Частота': 1}
подбаз	{'Частота': 1}
развернутоеокно	{'Частота': 1}
ОБП	{'Частота': 1}
полность	{'Частота': 1}
кудапривозить	{'Частота': 1}
древнеаристократический	{'Частота': 1}
приезжиенаемник	{'Частота': 1}
нарко	{'Частота': 1}
Эээ	{'Частота': 1}
заторможенный	{'Частота': 1}
распоследний	{'Частота': 1}
винсет	{'Частота': 1}
незапоминаться	{'Частота': 1}
разгерметизированный	{'Частота': 1}
порядкаможный	{'Частота': 1}
неактивировать	{'Частота': 1}
СБ	{'Частота': 1}
примерение	{'Частота': 1}
предалекий	{'Частота': 1}
унесшейдесяток	{'Частота': 1}
можетсингарийка	{'Частота': 1}
отнесеться	{'Частота': 1}
вногу	{'Частота': 1}
япросматривать	{'Частота': 1}
содержатьдроид	{'Частота': 1}
чтополностью	{'Частота': 1}
имперец	{'Частота': 1}
крепчесжать	{'Частота': 1}
другимха	{'Частота': 1}
отправиласообщение	{'Частота': 1}
участияэмоция	{'Частота': 1}
забесплатно	{'Частота': 1}
криминальногобизнес	{'Частота': 1}
бронешаттл	{'Частота': 1}
девайса	{'Частота': 1}
плоскийкругляш	{'Частота': 1}
обртать	{'Частота': 1}
взаимопродуктивный	{'Частота': 1}
микрометеоритный	{'Частота': 1}
пятидесятиметровый	{'Частота': 1}
светолет	{'Частота': 1}
синагриец	{'Частота': 1}
гривойбелокурый	{'Частота': 1}
хатать	{'Частота': 1}
семимиллионный	{'Частота': 1}
послевкусие	{'Частота': 1}
общийнадзор	{'Частота': 1}
напряжно	{'Частота': 1}
канвальский	{'Частота': 1}
выступаетс	{'Частота': 1}
управлящий	{'Частота': 1}
светопоглощение	{'Частота': 1}
нейроподключение	{'Частота': 1}
припомощь	{'Частота': 1}
ибудет	{'Частота': 1}
металлом	{'Частота': 1}
инф	{'Частота': 1}
бронепокрытие	{'Частота': 1}
наперекосяк	{'Частота': 1}
дроидостроение	{'Частота': 1}
дрона	{'Частота': 1}
крейсери	{'Частота': 1}
суперброня	{'Частота': 1}
кхай	{'Частота': 1}
пассажиркойный	{'Частота': 1}
вибропила	{'Частота': 1}
полурасстегнуть	{'Частота': 1}
интеркий	{'Частота': 1}
схлопнуться	{'Частота': 1}
менявпадать	{'Частота': 1}
невывести	{'Частота': 1}
телахозяин	{'Частота': 1}
здрастие	{'Частота': 1}
вип	{'Частота': 1}
законектиться	{'Частота': 1}
ирб	{'Частота': 1}
гадюшник	{'Частота': 1}
фильмахчеловек	{'Частота': 1}
сервомышца	{'Частота': 1}
полубегом	{'Частота': 1}
слабомощный	{'Частота': 1}
спрятавеще	{'Частота': 1}
удерживаютсямагнитный	{'Частота': 1}
будешьдолго	{'Частота': 1}
готовуюк	{'Частота': 1}
аборджаник	{'Частота': 1}
тоумирать	{'Частота': 1}
пристыковаться	{'Частота': 1}
чтопрямо	{'Частота': 1}
фронтир	{'Частота': 1}
Doom	{'Частота': 1}
зеленоволосаястоять	{'Частота': 1}
одеждке	{'Частота': 1}
владельцароботизировать	{'Частота': 1}
оглядяваться	{'Частота': 1}
ужепоявляться	{'Частота': 1}
услышатьбез	{'Частота': 1}
своюправота	{'Частота': 1}
полуактивный	{'Частота': 1}
общепланетный	{'Частота': 1}
первобытнойжестокость	{'Частота': 1}
сингарица	{'Частота': 1}
ученыепровождать	{'Частота': 1}
мирозданиянь	{'Частота': 1}
каменюк	{'Частота': 1}
ритуаламбаронство	{'Частота': 1}
своиместо	{'Частота': 1}
заявивить	{'Частота': 1}
ногия	{'Частота': 1}
всет	{'Частота': 1}
подбородоквскидывать	{'Частота': 1}
достопочтимый	{'Частота': 1}
чтобыон	{'Частота': 1}
биосканер	{'Частота': 1}
горанг	{'Частота': 1}
серграст	{'Частота': 1}
уверяювас	{'Частота': 1}
нравилсябольше	{'Частота': 1}
данныймомент	{'Частота': 1}
демпинговать	{'Частота': 1}
серверармейский	{'Частота': 1}
высокоприбыльный	{'Частота': 1}
пневмо	{'Частота': 1}
тоанонимный	{'Частота': 1}
общепланетарный	{'Частота': 1}
прокатывалоскрывать	{'Частота': 1}
нодажа	{'Частота': 1}
сельсхоз	{'Частота': 1}
позакрывать	{'Частота': 1}
заняттолько	{'Частота': 1}
эммм	{'Частота': 1}
налогна	{'Частота': 1}
совсей	{'Частота': 1}
неизменяться	{'Частота': 1}
пятьштук	{'Частота': 1}
согласноположение	{'Частота': 1}
дляпрямой	{'Частота': 1}
главногоперекресток	{'Частота': 1}
саттелит	{'Частота': 1}
тридцатиэтажный	{'Частота': 1}
набиратьнов	{'Частота': 1}
хаггов	{'Частота': 1}
широкоизвестный	{'Частота': 1}
нанита	{'Частота': 1}
продажевсего	{'Частота': 1}
комбенизон	{'Частота': 1}
апргрейд	{'Частота': 1}
вполнепозволять	{'Частота': 1}
теперьстановиться	{'Частота': 1}
инеприятие	{'Частота': 1}
физуха	{'Частота': 1}
среднеразвитый	{'Частота': 1}
полуприкрытый	{'Частота': 1}
дорасск	{'Частота': 1}
беспредельщик	{'Частота': 1}
необходимоболее	{'Частота': 1}
приколоться	{'Частота': 1}
приходиливать	{'Частота': 1}
смогливыстаивать	{'Частота': 1}
сильнымиискусственный	{'Частота': 1}
дорбэ	{'Частота': 1}
биоактивный	{'Частота': 1}
приобнимать	{'Частота': 1}
тотмомент	{'Частота': 1}
дорасс	{'Частота': 1}
приказалюрист	{'Частота': 1}
местнымхозяин	{'Частота': 1}
изобилующимукрытие	{'Частота': 1}
смоглинаслаждаться	{'Частота': 1}
негоедать	{'Частота': 1}
приемлимый	{'Частота': 1}
синагариец	{'Частота': 1}
качмарек	{'Частота': 1}
ксо	{'Частота': 1}
терасс	{'Частота': 1}
никтон	{'Частота': 1}
мультиразмерный	{'Частота': 1}
наночастица	{'Частота': 1}
капсулировать	{'Частота': 1}
инъектор	{'Частота': 1}
пятьдоз	{'Частота': 1}
арванит	{'Частота': 1}
полуавто	{'Частота': 1}
нейокорп	{'Частота': 1}
намножество	{'Частота': 1}
энергоячейка	{'Частота': 1}
короныс	{'Частота': 1}
первойбитва	{'Частота': 1}
еслион	{'Частота': 1}
модификант	{'Частота': 1}
внутрисистемник	{'Частота': 1}
головидение	{'Частота': 1}
прорекламировать	{'Частота': 1}
V	{'Частота': 1}
джоран	{'Частота': 1}
подверженавесьма	{'Частота': 1}
нанинта	{'Частота': 1}
Вжииххх	{'Частота': 1}
взбешенно	{'Частота': 1}
Арррххх	{'Частота': 1}
оннастраивать	{'Частота': 1}
насвободный	{'Частота': 1}
двуручник	{'Частота': 1}
добивающейатака	{'Частота': 1}
баронессойя	{'Частота': 1}
крыльябабочка	{'Частота': 1}
структурыпод	{'Частота': 1}
вызоветтолько	{'Частота': 1}
ядумать	{'Частота': 1}
точеннымичерта	{'Частота': 1}
голокамера	{'Частота': 1}
заставилтый	{'Частота': 1}
псионика	{'Частота': 1}
странномуядро	{'Частота': 1}
медкапусул	{'Частота': 1}
маккинный	{'Частота': 1}
кажеться	{'Частота': 1}
новойрас	{'Частота': 1}
техварпом	{'Частота': 1}
кольдунья	{'Частота': 1}
кеп	{'Частота': 1}
медикаминтозный	{'Частота': 1}
кхайский	{'Частота': 1}
гиперпространственный	{'Частота': 1}
промышленость	{'Частота': 1}
нейроимпланта	{'Частота': 1}
имланта	{'Частота': 1}
флибуст	{'Частота': 1}
http	{'Частота': 1}
flibusta	{'Частота': 1}
net	{'Частота': 1}
b	{'Частота': 1}
